'Elapsed time','ECG I','ECG I filtered'
'seconds','mV','mV'
0.000,-0.015,-0.065
0.002,0.065,-0.045
0.004,0.035,-0.035
0.006,-0.005,-0.025
0.008,0.025,-0.020
0.010,0.055,-0.025
0.012,0.040,-0.030
0.014,-0.025,-0.040
0.016,0.015,-0.040
0.018,-0.015,-0.040
0.020,-0.005,-0.035
0.022,0.085,-0.020
0.024,0.105,-0.005
0.026,0.055,0.005
0.028,0.070,0.015
0.030,0.100,0.015
0.032,0.065,0.010
0.034,0.065,0.000
0.036,0.095,-0.015
0.038,0.015,-0.030
0.040,-0.100,-0.040
0.042,-0.050,-0.045
0.044,0.045,-0.040
0.046,0.115,-0.025
0.048,0.085,-0.015
0.050,0.105,0.000
0.052,0.055,0.010
0.054,-0.010,0.015
0.056,0.110,0.015
0.058,0.000,0.005
0.060,0.000,-0.005
0.062,0.005,-0.020
0.064,0.035,-0.030
0.066,0.045,-0.040
0.068,0.000,-0.045
0.070,0.065,-0.045
0.072,0.055,-0.040
0.074,0.020,-0.035
0.076,0.000,-0.030
0.078,0.030,-0.025
0.080,0.080,-0.020
0.082,0.030,-0.020
0.084,0.015,-0.020
0.086,-0.070,-0.025
0.088,0.020,-0.025
0.090,0.120,-0.025
0.092,0.045,-0.025
0.094,0.050,-0.025
0.096,0.045,-0.030
0.098,0.070,-0.030
0.100,-0.025,-0.035
0.102,-0.015,-0.040
0.104,0.005,-0.045
0.106,-0.015,-0.045
0.108,0.000,-0.045
0.110,0.095,-0.040
0.112,0.075,-0.035
0.114,0.010,-0.025
0.116,0.035,-0.020
0.118,0.000,-0.015
0.120,0.060,-0.020
0.122,-0.010,-0.025
0.124,0.000,-0.030
0.126,0.000,-0.040
0.128,0.000,-0.045
0.130,-0.055,-0.050
0.132,0.015,-0.045
0.134,0.095,-0.040
0.136,0.145,-0.025
0.138,0.030,-0.010
0.140,0.030,0.010
0.142,0.090,0.020
0.144,0.055,0.025
0.146,0.130,0.025
0.148,0.080,0.010
0.150,0.020,-0.005
0.152,0.040,-0.025
0.154,-0.095,-0.050
0.156,0.060,-0.065
0.158,-0.010,-0.075
0.160,-0.020,-0.080
0.162,0.035,-0.075
0.164,-0.045,-0.065
0.166,-0.025,-0.055
0.168,0.015,-0.045
0.170,0.085,-0.035
0.172,0.005,-0.030
0.174,0.010,-0.030
0.176,0.000,-0.030
0.178,0.085,-0.030
0.180,-0.005,-0.030
0.182,0.060,-0.030
0.184,0.085,-0.025
0.186,0.005,-0.025
0.188,-0.030,-0.025
0.190,0.050,-0.025
0.192,0.045,-0.035
0.194,-0.010,-0.045
0.196,0.015,-0.055
0.198,0.035,-0.070
0.200,0.100,-0.075
0.202,-0.040,-0.080
0.204,-0.200,-0.075
0.206,-0.030,-0.065
0.208,0.110,-0.050
0.210,0.065,-0.035
0.212,0.045,-0.020
0.214,0.055,-0.010
0.216,-0.015,0.000
0.218,0.090,0.000
0.220,0.060,-0.005
0.222,0.050,-0.010
0.224,0.010,-0.015
0.226,0.060,-0.025
0.228,0.060,-0.030
0.230,0.035,-0.030
0.232,-0.010,-0.035
0.234,0.020,-0.035
0.236,0.045,-0.040
0.238,0.030,-0.045
0.240,0.045,-0.045
0.242,0.030,-0.050
0.244,-0.045,-0.055
0.246,-0.020,-0.055
0.248,0.025,-0.060
0.250,0.005,-0.060
0.252,-0.005,-0.055
0.254,-0.035,-0.055
0.256,0.015,-0.050
0.258,0.040,-0.045
0.260,0.055,-0.040
0.262,0.035,-0.035
0.264,0.040,-0.025
0.266,-0.005,-0.015
0.268,0.065,-0.005
0.270,0.100,0.010
0.272,0.055,0.020
0.274,0.035,0.030
0.276,0.160,0.035
0.278,0.195,0.040
0.280,0.110,0.035
0.282,0.085,0.030
0.284,0.100,0.020
0.286,-0.055,0.010
0.288,-0.010,-0.005
0.290,0.150,-0.015
0.292,0.115,-0.025
0.294,0.020,-0.030
0.296,0.010,-0.035
0.298,0.030,-0.035
0.300,0.015,-0.030
0.302,-0.015,-0.030
0.304,-0.060,-0.025
0.306,0.020,-0.025
0.308,0.140,-0.025
0.310,0.090,-0.025
0.312,0.115,-0.030
0.314,0.025,-0.035
0.316,0.035,-0.040
0.318,-0.060,-0.045
0.320,-0.065,-0.050
0.322,0.070,-0.045
0.324,0.130,-0.040
0.326,-0.055,-0.035
0.328,0.060,-0.025
0.330,0.045,-0.015
0.332,0.130,-0.010
0.334,0.070,-0.010
0.336,0.005,-0.010
0.338,0.035,-0.015
0.340,0.005,-0.020
0.342,0.045,-0.025
0.344,0.015,-0.030
0.346,0.065,-0.035
0.348,0.060,-0.040
0.350,0.020,-0.045
0.352,0.005,-0.060
0.354,0.030,-0.075
0.356,0.005,-0.095
0.358,-0.090,-0.120
0.360,-0.165,-0.140
0.362,-0.220,-0.155
0.364,-0.090,-0.160
0.366,0.005,-0.150
0.368,0.040,-0.120
0.370,-0.035,-0.080
0.372,0.005,-0.030
0.374,0.095,0.025
0.376,0.210,0.090
0.378,0.240,0.150
0.380,0.310,0.210
0.382,0.355,0.275
0.384,0.340,0.335
0.386,0.355,0.400
0.388,0.560,0.460
0.390,0.680,0.515
0.392,0.705,0.555
0.394,0.675,0.570
0.396,0.665,0.560
0.398,0.610,0.515
0.400,0.490,0.430
0.402,0.385,0.320
0.404,0.215,0.190
0.406,0.085,0.055
0.408,-0.115,-0.070
0.410,-0.180,-0.170
0.412,-0.220,-0.235
0.414,-0.140,-0.265
0.416,-0.130,-0.255
0.418,-0.155,-0.225
0.420,-0.135,-0.175
0.422,-0.005,-0.125
0.424,-0.005,-0.085
0.426,-0.025,-0.060
0.428,0.025,-0.050
0.430,0.035,-0.055
0.432,-0.010,-0.065
0.434,-0.125,-0.075
0.436,-0.035,-0.080
0.438,0.100,-0.075
0.440,0.120,-0.060
0.442,0.015,-0.040
0.444,0.025,-0.015
0.446,0.090,0.005
0.448,0.055,0.015
0.450,0.130,0.020
0.452,0.090,0.015
0.454,-0.035,0.000
0.456,0.060,-0.015
0.458,0.095,-0.035
0.460,0.020,-0.045
0.462,0.025,-0.045
0.464,-0.005,-0.045
0.466,0.030,-0.035
0.468,0.055,-0.025
0.470,0.080,-0.015
0.472,0.000,-0.010
0.474,0.110,-0.005
0.476,0.150,0.000
0.478,0.080,-0.005
0.480,0.010,-0.010
0.482,-0.020,-0.015
0.484,0.070,-0.020
0.486,0.020,-0.025
0.488,-0.005,-0.030
0.490,-0.010,-0.035
0.492,0.055,-0.035
0.494,0.100,-0.035
0.496,0.070,-0.035
0.498,0.080,-0.030
0.500,0.085,-0.020
0.502,0.090,-0.010
0.504,-0.015,0.000
0.506,0.010,0.010
0.508,0.140,0.020
0.510,0.120,0.025
0.512,0.110,0.030
0.514,0.090,0.035
0.516,-0.040,0.035
0.518,0.130,0.035
0.520,0.225,0.035
0.522,0.135,0.040
0.524,0.055,0.045
0.526,0.125,0.050
0.528,0.135,0.055
0.530,0.095,0.060
0.532,0.140,0.060
0.534,0.160,0.065
0.536,0.165,0.060
0.538,0.145,0.060
0.540,0.030,0.055
0.542,0.100,0.050
0.544,0.130,0.050
0.546,0.185,0.050
0.548,0.150,0.055
0.550,0.170,0.055
0.552,0.080,0.060
0.554,0.105,0.060
0.556,0.150,0.065
0.558,0.145,0.065
0.560,0.160,0.070
0.562,0.125,0.075
0.564,0.165,0.085
0.566,0.180,0.095
0.568,0.150,0.110
0.570,0.155,0.120
0.572,0.295,0.135
0.574,0.240,0.145
0.576,0.205,0.150
0.578,0.220,0.155
0.580,0.195,0.155
0.582,0.220,0.160
0.584,0.200,0.165
0.586,0.210,0.175
0.588,0.210,0.190
0.590,0.300,0.210
0.592,0.375,0.235
0.594,0.370,0.260
0.596,0.345,0.280
0.598,0.360,0.300
0.600,0.385,0.310
0.602,0.395,0.315
0.604,0.390,0.320
0.606,0.400,0.315
0.608,0.415,0.310
0.610,0.360,0.300
0.612,0.340,0.290
0.614,0.285,0.280
0.616,0.375,0.270
0.618,0.385,0.260
0.620,0.240,0.255
0.622,0.310,0.250
0.624,0.380,0.250
0.626,0.430,0.250
0.628,0.300,0.250
0.630,0.285,0.255
0.632,0.325,0.260
0.634,0.375,0.260
0.636,0.340,0.260
0.638,0.350,0.255
0.640,0.315,0.245
0.642,0.240,0.225
0.644,0.180,0.205
0.646,0.280,0.185
0.648,0.260,0.160
0.650,0.235,0.135
0.652,0.150,0.110
0.654,0.160,0.090
0.656,0.170,0.070
0.658,0.110,0.060
0.660,0.115,0.050
0.662,0.090,0.040
0.664,0.030,0.040
0.666,0.060,0.040
0.668,0.150,0.040
0.670,0.145,0.040
0.672,0.145,0.035
0.674,0.105,0.030
0.676,0.115,0.020
0.678,0.010,0.005
0.680,0.020,-0.005
0.682,0.050,-0.015
0.684,0.105,-0.025
0.686,0.155,-0.030
0.688,0.030,-0.030
0.690,-0.020,-0.035
0.692,0.000,-0.035
0.694,0.070,-0.035
0.696,0.065,-0.040
0.698,0.025,-0.045
0.700,-0.005,-0.055
0.702,-0.025,-0.065
0.704,-0.080,-0.070
0.706,-0.015,-0.075
0.708,0.040,-0.075
0.710,0.015,-0.070
0.712,0.080,-0.065
0.714,0.055,-0.065
0.716,-0.045,-0.065
0.718,-0.065,-0.070
0.720,0.010,-0.080
0.722,-0.065,-0.090
0.724,0.020,-0.100
0.726,-0.020,-0.105
0.728,-0.110,-0.105
0.730,-0.030,-0.095
0.732,0.085,-0.080
0.734,0.000,-0.060
0.736,0.020,-0.040
0.738,0.065,-0.025
0.740,0.095,-0.010
0.742,0.065,-0.005
0.744,0.085,-0.005
0.746,0.030,-0.015
0.748,0.015,-0.025
0.750,-0.025,-0.040
0.752,0.055,-0.050
0.754,0.010,-0.055
0.756,-0.015,-0.050
0.758,0.030,-0.045
0.760,0.035,-0.035
0.762,0.035,-0.020
0.764,0.085,-0.015
0.766,0.015,-0.005
0.768,0.100,-0.005
0.770,0.115,-0.010
0.772,0.125,-0.015
0.774,0.045,-0.025
0.776,-0.035,-0.035
0.778,0.005,-0.040
0.780,0.030,-0.045
0.782,0.000,-0.050
0.784,0.050,-0.050
0.786,0.015,-0.055
0.788,0.050,-0.060
0.790,0.025,-0.065
0.792,-0.005,-0.070
0.794,-0.055,-0.075
0.796,-0.010,-0.080
0.798,-0.060,-0.080
0.800,-0.085,-0.080
0.802,-0.045,-0.075
0.804,0.110,-0.065
0.806,0.135,-0.060
0.808,0.065,-0.050
0.810,0.030,-0.045
0.812,0.035,-0.035
0.814,-0.115,-0.030
0.816,-0.065,-0.025
0.818,0.170,-0.015
0.820,0.075,-0.010
0.822,0.075,-0.005
0.824,0.095,0.005
0.826,0.095,0.005
0.828,0.065,0.005
0.830,0.060,-0.005
0.832,0.040,-0.015
0.834,0.025,-0.030
0.836,0.040,-0.050
0.838,0.075,-0.065
0.840,-0.015,-0.075
0.842,-0.075,-0.075
0.844,-0.020,-0.070
0.846,0.045,-0.060
0.848,0.080,-0.040
0.850,0.045,-0.025
0.852,0.085,-0.010
0.854,0.125,0.000
0.856,0.040,0.000
0.858,0.005,-0.010
0.860,-0.040,-0.020
0.862,0.045,-0.035
0.864,0.060,-0.050
0.866,0.010,-0.060
0.868,0.040,-0.065
0.870,-0.030,-0.060
0.872,0.030,-0.055
0.874,0.040,-0.050
0.876,0.020,-0.045
0.878,0.050,-0.045
0.880,-0.010,-0.050
0.882,0.015,-0.055
0.884,0.040,-0.065
0.886,-0.025,-0.075
0.888,0.065,-0.080
0.890,-0.065,-0.075
0.892,-0.045,-0.065
0.894,-0.060,-0.050
0.896,0.085,-0.035
0.898,0.185,-0.015
0.900,0.110,0.005
0.902,0.020,0.015
0.904,0.055,0.020
0.906,0.080,0.020
0.908,0.070,0.010
0.910,0.070,0.000
0.912,0.130,-0.015
0.914,0.015,-0.025
0.916,0.010,-0.035
0.918,0.020,-0.045
0.920,-0.005,-0.050
0.922,-0.005,-0.050
0.924,-0.025,-0.055
0.926,0.020,-0.055
0.928,0.025,-0.060
0.930,0.040,-0.065
0.932,0.010,-0.065
0.934,-0.050,-0.070
0.936,0.010,-0.070
0.938,0.025,-0.070
0.940,0.065,-0.065
0.942,-0.015,-0.060
0.944,-0.045,-0.055
0.946,-0.035,-0.050
0.948,0.090,-0.050
0.950,0.055,-0.050
0.952,0.035,-0.050
0.954,-0.055,-0.050
0.956,-0.015,-0.055
0.958,0.025,-0.060
0.960,0.045,-0.060
0.962,0.040,-0.065
0.964,0.010,-0.065
0.966,0.045,-0.065
0.968,-0.055,-0.065
0.970,-0.005,-0.065
0.972,-0.045,-0.060
0.974,-0.070,-0.055
0.976,0.050,-0.050
0.978,0.130,-0.045
0.980,0.080,-0.035
0.982,0.010,-0.030
0.984,-0.015,-0.030
0.986,-0.020,-0.030
0.988,0.085,-0.030
0.990,0.035,-0.040
0.992,0.055,-0.050
0.994,0.020,-0.060
0.996,0.040,-0.065
0.998,-0.075,-0.070
1.000,-0.050,-0.065
1.002,0.045,-0.055
1.004,0.125,-0.045
1.006,0.035,-0.030
1.008,0.040,-0.015
1.010,0.110,-0.005
1.012,0.090,-0.005
1.014,-0.010,-0.010
1.016,-0.015,-0.020
1.018,0.025,-0.040
1.020,-0.010,-0.055
1.022,-0.025,-0.075
1.024,0.055,-0.085
1.026,-0.045,-0.090
1.028,0.015,-0.090
1.030,0.010,-0.085
1.032,0.010,-0.070
1.034,0.035,-0.060
1.036,-0.015,-0.050
1.038,0.040,-0.040
1.040,-0.010,-0.035
1.042,-0.035,-0.035
1.044,0.070,-0.030
1.046,0.060,-0.030
1.048,0.075,-0.030
1.050,0.020,-0.025
1.052,-0.005,-0.020
1.054,0.045,-0.010
1.056,0.145,-0.005
1.058,0.075,-0.005
1.060,0.035,0.000
1.062,0.055,-0.005
1.064,0.105,-0.010
1.066,-0.015,-0.020
1.068,0.050,-0.025
