'Elapsed time','ECG I','ECG I filtered'
'seconds','mV','mV'
0.000,0.385,0.090
0.002,0.480,0.060
0.004,0.485,0.080
0.006,0.445,0.110
0.008,0.500,0.170
0.010,0.430,0.255
0.012,0.570,0.350
0.014,0.550,0.425
0.016,0.790,0.470
0.018,0.840,0.465
0.020,0.945,0.405
0.022,0.735,0.300
0.024,0.495,0.165
0.026,0.215,0.025
0.028,0.205,-0.105
0.030,-0.150,-0.205
0.032,-0.230,-0.260
0.034,-0.030,-0.275
0.036,-0.015,-0.260
0.038,0.040,-0.225
0.040,0.385,-0.195
0.042,0.160,-0.180
0.044,0.135,-0.180
0.046,0.050,-0.205
0.048,0.070,-0.240
0.050,-0.230,-0.270
0.052,-0.120,-0.295
0.054,-0.150,-0.295
0.056,-0.065,-0.280
0.058,0.060,-0.245
0.060,0.270,-0.205
0.062,0.325,-0.165
0.064,0.210,-0.135
0.066,0.155,-0.125
0.068,0.100,-0.135
0.070,-0.025,-0.155
0.072,-0.140,-0.180
0.074,-0.055,-0.200
0.076,-0.035,-0.215
0.078,0.080,-0.220
0.080,0.270,-0.215
0.082,0.270,-0.205
0.084,0.140,-0.190
0.086,0.010,-0.185
0.088,-0.075,-0.185
0.090,-0.125,-0.190
0.092,-0.095,-0.200
0.094,-0.095,-0.210
0.096,0.070,-0.215
0.098,0.105,-0.215
0.100,0.240,-0.200
0.102,0.205,-0.185
0.104,0.145,-0.160
0.106,0.055,-0.145
0.108,0.055,-0.130
0.110,-0.030,-0.130
0.112,-0.090,-0.135
0.114,0.050,-0.150
0.116,0.125,-0.170
0.118,0.010,-0.190
0.120,0.170,-0.205
0.122,0.160,-0.205
0.124,0.145,-0.200
0.126,-0.020,-0.185
0.128,0.025,-0.165
0.130,-0.030,-0.140
0.132,-0.050,-0.125
0.134,0.020,-0.110
0.136,0.105,-0.110
0.138,0.165,-0.125
0.140,0.290,-0.145
0.142,0.215,-0.170
0.144,0.175,-0.200
0.146,-0.045,-0.225
0.148,-0.235,-0.240
0.150,-0.205,-0.245
0.152,-0.095,-0.235
0.154,-0.115,-0.215
0.156,0.050,-0.190
0.158,0.125,-0.160
0.160,0.290,-0.130
0.162,0.315,-0.110
0.164,0.205,-0.100
0.166,0.035,-0.100
0.168,-0.035,-0.105
0.170,-0.080,-0.115
0.172,0.010,-0.125
0.174,0.080,-0.130
0.176,0.090,-0.130
0.178,0.195,-0.120
0.180,0.240,-0.100
0.182,0.270,-0.080
0.184,0.240,-0.065
0.186,0.105,-0.050
0.188,0.010,-0.050
0.190,0.035,-0.050
0.192,0.050,-0.065
0.194,0.005,-0.080
0.196,0.055,-0.100
0.198,0.145,-0.110
0.200,0.220,-0.120
0.202,0.180,-0.125
0.204,0.175,-0.120
0.206,0.140,-0.110
0.208,-0.005,-0.100
0.210,-0.015,-0.085
0.212,-0.025,-0.075
0.214,0.035,-0.070
0.216,0.080,-0.060
0.218,0.265,-0.055
0.220,0.305,-0.045
0.222,0.140,-0.040
0.224,0.235,-0.030
0.226,0.260,-0.020
0.228,0.135,-0.015
0.230,0.005,-0.010
0.232,0.035,-0.015
0.234,0.135,-0.020
0.236,0.065,-0.025
0.238,0.235,-0.030
0.240,0.355,-0.035
0.242,0.255,-0.040
0.244,0.195,-0.035
0.246,0.135,-0.025
0.248,0.015,-0.015
0.250,0.075,-0.005
0.252,0.100,0.005
0.254,0.085,0.010
0.256,0.125,0.015
0.258,0.345,0.020
0.260,0.350,0.025
0.262,0.295,0.030
0.264,0.210,0.035
0.266,0.160,0.045
0.268,0.090,0.055
0.270,0.185,0.065
0.272,0.135,0.070
0.274,0.195,0.065
0.276,0.245,0.050
0.278,0.250,0.030
0.280,0.255,0.010
0.282,0.270,-0.015
0.284,0.225,-0.035
0.286,0.010,-0.045
0.288,-0.010,-0.045
0.290,0.115,-0.045
0.292,0.045,-0.040
0.294,0.035,-0.035
0.296,0.065,-0.035
0.298,0.205,-0.040
0.300,0.195,-0.060
0.302,0.165,-0.085
0.304,0.060,-0.110
0.306,0.045,-0.135
0.308,-0.055,-0.150
0.310,-0.205,-0.160
0.312,-0.145,-0.160
0.314,-0.035,-0.150
0.316,0.030,-0.135
0.318,0.210,-0.120
0.320,0.270,-0.110
0.322,0.105,-0.110
0.324,0.085,-0.115
0.326,-0.060,-0.125
0.328,-0.110,-0.140
0.330,-0.175,-0.150
0.332,-0.175,-0.155
0.334,-0.040,-0.150
0.336,-0.015,-0.140
0.338,0.190,-0.125
0.340,0.295,-0.110
0.342,0.125,-0.095
0.344,-0.010,-0.085
0.346,0.005,-0.085
0.348,-0.015,-0.095
0.350,-0.070,-0.110
0.352,-0.140,-0.130
0.354,-0.065,-0.145
0.356,-0.030,-0.155
0.358,0.090,-0.160
0.360,0.035,-0.160
0.362,0.175,-0.145
0.364,0.065,-0.130
0.366,0.035,-0.115
0.368,-0.140,-0.100
0.370,-0.150,-0.095
0.372,-0.035,-0.095
0.374,0.000,-0.105
0.376,0.000,-0.120
0.378,0.155,-0.140
0.380,0.085,-0.155
0.382,-0.015,-0.165
0.384,0.015,-0.165
0.386,-0.055,-0.155
0.388,-0.135,-0.140
0.390,-0.105,-0.120
0.392,-0.085,-0.100
0.394,0.050,-0.080
0.396,0.085,-0.070
0.398,0.175,-0.065
0.400,0.170,-0.070
0.402,0.215,-0.075
0.404,0.025,-0.085
0.406,-0.025,-0.090
0.408,-0.160,-0.095
0.410,-0.115,-0.095
0.412,-0.085,-0.095
0.414,-0.015,-0.095
0.416,0.135,-0.100
0.418,0.180,-0.100
0.420,0.125,-0.105
0.422,0.100,-0.110
0.424,-0.020,-0.110
0.426,-0.075,-0.105
0.428,-0.180,-0.100
0.430,-0.180,-0.090
0.432,0.065,-0.080
0.434,0.065,-0.070
0.436,0.070,-0.065
0.438,0.235,-0.065
0.440,0.155,-0.070
0.442,0.135,-0.080
0.444,-0.070,-0.095
0.446,-0.100,-0.110
0.448,-0.160,-0.120
0.450,-0.160,-0.125
0.452,-0.005,-0.125
