'Elapsed time','ECG I','ECG I filtered'
'seconds','mV','mV'
0.000,-0.065,-0.030
0.002,-0.095,-0.035
0.004,-0.115,-0.040
0.006,-0.105,-0.040
0.008,-0.090,-0.040
0.010,-0.025,-0.035
0.012,-0.025,-0.030
0.014,-0.015,-0.025
0.016,0.000,-0.020
0.018,-0.020,-0.015
0.020,-0.080,-0.010
0.022,-0.100,-0.010
0.024,-0.105,-0.015
0.026,-0.095,-0.015
0.028,-0.095,-0.015
0.030,-0.040,-0.015
0.032,-0.015,-0.015
0.034,0.000,-0.015
0.036,-0.015,-0.015
0.038,-0.025,-0.020
0.040,-0.080,-0.025
0.042,-0.115,-0.030
0.044,-0.140,-0.035
0.046,-0.130,-0.040
0.048,-0.100,-0.045
0.050,-0.045,-0.045
0.052,-0.010,-0.045
0.054,-0.005,-0.045
0.056,-0.015,-0.040
0.058,-0.045,-0.035
0.060,-0.085,-0.030
0.062,-0.120,-0.030
0.064,-0.145,-0.030
0.066,-0.130,-0.035
0.068,-0.100,-0.040
0.070,-0.045,-0.045
0.072,-0.025,-0.045
0.074,-0.010,-0.045
0.076,-0.040,-0.045
0.078,-0.065,-0.045
0.080,-0.105,-0.040
0.082,-0.120,-0.035
0.084,-0.125,-0.030
0.086,-0.115,-0.030
0.088,-0.095,-0.030
0.090,-0.025,-0.035
0.092,-0.035,-0.040
0.094,-0.045,-0.040
0.096,-0.025,-0.045
0.098,-0.050,-0.045
0.100,-0.095,-0.045
0.102,-0.115,-0.045
0.104,-0.110,-0.040
0.106,-0.115,-0.035
0.108,-0.090,-0.035
0.110,-0.040,-0.035
0.112,-0.035,-0.035
0.114,-0.010,-0.040
0.116,-0.025,-0.045
0.118,-0.070,-0.050
0.120,-0.105,-0.055
0.122,-0.140,-0.055
0.124,-0.145,-0.055
0.126,-0.110,-0.055
0.128,-0.080,-0.055
0.130,-0.035,-0.050
0.132,-0.015,-0.045
0.134,-0.015,-0.040
0.136,-0.035,-0.040
0.138,-0.065,-0.040
0.140,-0.115,-0.040
0.142,-0.120,-0.040
0.144,-0.125,-0.040
0.146,-0.110,-0.040
0.148,-0.065,-0.040
0.150,-0.015,-0.040
0.152,-0.015,-0.040
0.154,0.000,-0.040
0.156,-0.020,-0.035
0.158,-0.055,-0.030
0.160,-0.100,-0.030
0.162,-0.110,-0.025
0.164,-0.115,-0.025
0.166,-0.105,-0.025
0.168,-0.075,-0.025
0.170,-0.020,-0.025
0.172,-0.015,-0.025
0.174,0.000,-0.025
0.176,-0.010,-0.025
0.178,-0.045,-0.030
0.180,-0.085,-0.025
0.182,-0.100,-0.025
0.184,-0.105,-0.025
0.186,-0.055,-0.020
0.188,-0.025,-0.015
0.190,0.010,-0.010
0.192,0.035,-0.010
0.194,0.025,-0.005
0.196,0.005,0.000
0.198,-0.020,0.000
0.200,-0.055,0.000
0.202,-0.065,0.000
0.204,-0.075,0.000
0.206,-0.075,0.000
0.208,-0.040,-0.005
0.210,-0.015,-0.010
0.212,0.000,-0.015
0.214,-0.010,-0.020
0.216,-0.035,-0.025
0.218,-0.080,-0.030
0.220,-0.125,-0.040
0.222,-0.140,-0.050
0.224,-0.130,-0.060
0.226,-0.125,-0.065
0.228,-0.075,-0.075
0.230,-0.050,-0.080
0.232,-0.035,-0.080
0.234,-0.020,-0.080
