'Elapsed time','ECG I','ECG I filtered'
'seconds','mV','mV'
0.000,-0.305,-0.150
0.002,-0.305,-0.060
0.004,-0.160,0.000
0.006,-0.065,0.050
0.008,0.005,0.075
0.010,0.015,0.075
0.012,0.015,0.060
0.014,-0.125,0.030
0.016,-0.385,0.000
0.018,-0.265,-0.025
0.020,-0.075,-0.035
0.022,-0.200,-0.040
0.024,-0.280,-0.035
0.026,-0.245,-0.025
0.028,-0.085,-0.020
0.030,-0.050,-0.020
0.032,-0.090,-0.025
0.034,-0.130,-0.035
0.036,-0.280,-0.050
0.038,-0.415,-0.065
0.040,-0.305,-0.075
0.042,-0.275,-0.080
0.044,-0.330,-0.075
0.046,-0.235,-0.070
0.048,-0.050,-0.065
0.050,-0.040,-0.065
0.052,-0.160,-0.065
0.054,-0.200,-0.070
0.056,-0.320,-0.080
0.058,-0.360,-0.085
0.060,-0.300,-0.085
0.062,-0.380,-0.080
0.064,-0.255,-0.070
0.066,-0.105,-0.055
0.068,-0.090,-0.040
0.070,-0.095,-0.030
0.072,0.060,-0.025
0.074,-0.200,-0.025
0.076,-0.220,-0.030
0.078,-0.415,-0.040
0.080,-0.330,-0.055
0.082,-0.280,-0.065
0.084,-0.220,-0.075
0.086,-0.160,-0.080
0.088,-0.040,-0.080
0.090,-0.155,-0.080
0.092,-0.200,-0.080
0.094,-0.215,-0.075
0.096,-0.170,-0.075
0.098,-0.385,-0.070
0.100,-0.360,-0.065
0.102,-0.215,-0.055
0.104,-0.225,-0.050
0.106,-0.235,-0.040
0.108,-0.060,-0.035
0.110,-0.055,-0.030
0.112,-0.130,-0.030
0.114,-0.195,-0.035
0.116,-0.260,-0.045
0.118,-0.380,-0.050
0.120,-0.275,-0.060
0.122,-0.330,-0.060
0.124,-0.185,-0.060
0.126,-0.175,-0.055
0.128,-0.045,-0.045
0.130,-0.075,-0.040
0.132,-0.165,-0.040
0.134,-0.200,-0.040
0.136,-0.160,-0.050
0.138,-0.390,-0.060
0.140,-0.350,-0.070
0.142,-0.280,-0.075
0.144,-0.170,-0.080
0.146,-0.185,-0.075
0.148,-0.065,-0.070
0.150,-0.095,-0.060
0.152,-0.155,-0.050
0.154,-0.140,-0.040
0.156,-0.210,-0.035
0.158,-0.375,-0.035
0.160,-0.390,-0.035
0.162,-0.235,-0.040
0.164,-0.150,-0.040
0.166,-0.130,-0.045
0.168,-0.105,-0.040
0.170,-0.030,-0.040
0.172,-0.075,-0.035
0.174,-0.175,-0.030
0.176,-0.270,-0.030
0.178,-0.370,-0.030
0.180,-0.330,-0.040
0.182,-0.280,-0.050
0.184,-0.215,-0.055
0.186,-0.180,-0.065
0.188,-0.060,-0.070
0.190,-0.035,-0.070
0.192,-0.145,-0.065
0.194,-0.255,-0.060
0.196,-0.270,-0.055
0.198,-0.350,-0.055
0.200,-0.330,-0.055
0.202,-0.300,-0.060
0.204,-0.220,-0.065
0.206,-0.110,-0.070
0.208,-0.125,-0.075
0.210,-0.110,-0.075
0.212,-0.175,-0.075
0.214,-0.175,-0.065
0.216,-0.245,-0.055
0.218,-0.285,-0.045
0.220,-0.325,-0.035
0.222,-0.180,-0.025
0.224,-0.225,-0.025
0.226,-0.120,-0.030
0.228,-0.050,-0.035
0.230,-0.065,-0.040
0.232,-0.135,-0.050
0.234,-0.230,-0.055
0.236,-0.285,-0.060
0.238,-0.330,-0.060
0.240,-0.355,-0.060
0.242,-0.305,-0.060
0.244,-0.120,-0.060
0.246,-0.180,-0.060
0.248,-0.065,-0.060
0.250,-0.070,-0.060
0.252,-0.155,-0.060
0.254,-0.175,-0.055
0.256,-0.370,-0.050
0.258,-0.280,-0.045
0.260,-0.310,-0.035
0.262,-0.315,-0.025
0.264,-0.130,-0.025
0.266,-0.065,-0.025
0.268,-0.015,-0.025
0.270,-0.070,-0.035
0.272,-0.160,-0.045
0.274,-0.240,-0.055
0.276,-0.340,-0.065
0.278,-0.335,-0.070
0.280,-0.330,-0.070
0.282,-0.225,-0.065
0.284,-0.210,-0.055
0.286,-0.095,-0.045
0.288,0.020,-0.035
0.290,-0.055,-0.025
0.292,-0.205,-0.015
0.294,-0.145,-0.010
0.296,-0.195,-0.010
0.298,-0.280,-0.010
0.300,-0.345,-0.010
0.302,-0.225,-0.015
0.304,-0.145,-0.015
0.306,0.000,-0.015
0.308,-0.015,-0.010
0.310,-0.055,-0.010
0.312,-0.105,-0.005
0.314,-0.200,-0.005
0.316,-0.265,0.000
0.318,-0.210,0.000
0.320,-0.280,-0.005
0.322,-0.200,-0.010
0.324,-0.085,-0.020
0.326,-0.010,-0.030
0.328,0.030,-0.035
0.330,-0.130,-0.045
0.332,-0.235,-0.055
0.334,-0.265,-0.060
0.336,-0.335,-0.065
0.338,-0.210,-0.070
0.340,-0.345,-0.075
0.342,-0.285,-0.075
0.344,-0.190,-0.075
0.346,-0.090,-0.080
0.348,-0.100,-0.080
0.350,-0.100,-0.080
0.352,-0.140,-0.080
0.354,-0.220,-0.080
0.356,-0.355,-0.075
0.358,-0.360,-0.070
0.360,-0.355,-0.065
0.362,-0.200,-0.060
0.364,-0.105,-0.055
0.366,-0.055,-0.055
0.368,-0.120,-0.060
0.370,-0.200,-0.070
0.372,-0.170,-0.080
0.374,-0.190,-0.085
0.376,-0.385,-0.095
0.378,-0.370,-0.090
0.380,-0.260,-0.075
0.382,-0.170,-0.050
0.384,-0.075,-0.005
0.386,0.045,0.060
0.388,0.050,0.140
0.390,0.050,0.235
0.392,0.235,0.330
0.394,0.350,0.430
0.396,0.415,0.525
0.398,0.445,0.605
0.400,0.440,0.660
0.402,0.425,0.695
0.404,0.600,0.700
0.406,0.620,0.675
0.408,0.610,0.625
0.410,0.605,0.550
0.412,0.305,0.460
0.414,0.325,0.355
0.416,0.025,0.255
0.418,-0.200,0.160
0.420,-0.275,0.075
0.422,-0.240,0.010
0.424,-0.105,-0.035
0.426,-0.085,-0.060
0.428,-0.115,-0.070
0.430,-0.070,-0.065
0.432,-0.145,-0.055
0.434,-0.225,-0.040
0.436,-0.305,-0.035
0.438,-0.355,-0.035
0.440,-0.350,-0.040
0.442,-0.190,-0.050
0.444,-0.110,-0.065
0.446,-0.095,-0.080
0.448,-0.065,-0.090
0.450,-0.070,-0.090
0.452,-0.255,-0.080
0.454,-0.255,-0.065
0.456,-0.335,-0.045
0.458,-0.335,-0.030
0.460,-0.155,-0.015
0.462,-0.050,-0.005
0.464,-0.070,-0.010
0.466,-0.035,-0.015
0.468,-0.100,-0.030
0.470,-0.210,-0.040
0.472,-0.275,-0.055
0.474,-0.150,-0.060
0.476,-0.285,-0.055
0.478,-0.375,-0.050
0.480,-0.145,-0.045
0.482,-0.130,-0.035
0.484,-0.155,-0.030
0.486,-0.075,-0.035
0.488,-0.085,-0.045
0.490,-0.150,-0.055
0.492,-0.170,-0.070
0.494,-0.300,-0.085
0.496,-0.325,-0.090
0.498,-0.300,-0.085
0.500,-0.180,-0.075
0.502,-0.225,-0.060
0.504,-0.180,-0.045
0.506,0.045,-0.025
0.508,0.035,-0.010
0.510,-0.165,-0.005
0.512,-0.155,-0.005
0.514,-0.190,-0.010
0.516,-0.300,-0.020
0.518,-0.300,-0.030
0.520,-0.195,-0.040
0.522,-0.065,-0.040
0.524,-0.075,-0.035
0.526,-0.080,-0.025
0.528,-0.040,-0.010
0.530,-0.075,0.005
0.532,-0.130,0.015
0.534,-0.205,0.020
0.536,-0.320,0.020
0.538,-0.150,0.015
0.540,-0.135,0.005
0.542,-0.125,-0.010
0.544,-0.010,-0.020
0.546,-0.075,-0.025
0.548,-0.080,-0.025
0.550,-0.135,-0.015
0.552,-0.125,0.000
0.554,-0.210,0.015
0.556,-0.170,0.035
0.558,-0.175,0.045
0.560,-0.100,0.050
0.562,-0.050,0.045
0.564,-0.045,0.040
0.566,0.030,0.025
0.568,0.060,0.015
0.570,-0.090,0.010
0.572,-0.250,0.010
0.574,-0.190,0.020
0.576,-0.130,0.040
0.578,-0.065,0.060
0.580,-0.110,0.080
0.582,-0.065,0.100
0.584,0.110,0.110
0.586,0.070,0.115
0.588,0.115,0.115
0.590,0.040,0.110
0.592,-0.055,0.105
0.594,-0.145,0.100
0.596,-0.140,0.100
0.598,-0.160,0.100
0.600,-0.030,0.100
0.602,0.015,0.105
0.604,0.105,0.115
0.606,0.230,0.120
0.608,0.075,0.125
0.610,-0.045,0.130
0.612,-0.020,0.140
0.614,-0.075,0.150
0.616,-0.060,0.165
0.618,0.015,0.180
0.620,0.125,0.190
0.622,0.165,0.200
0.624,0.220,0.200
0.626,0.085,0.195
0.628,0.150,0.185
0.630,0.115,0.165
0.632,-0.045,0.145
0.634,-0.135,0.125
0.636,-0.095,0.115
0.638,-0.050,0.110
0.640,0.015,0.110
0.642,0.010,0.120
0.644,0.155,0.130
0.646,0.090,0.140
0.648,0.155,0.145
0.650,0.040,0.145
0.652,-0.070,0.135
0.654,-0.110,0.120
0.656,-0.140,0.100
0.658,-0.140,0.075
0.660,-0.045,0.055
0.662,-0.020,0.035
0.664,0.030,0.025
0.666,0.000,0.015
0.668,0.020,0.015
0.670,-0.130,0.010
0.672,-0.195,0.010
0.674,-0.180,0.010
0.676,-0.220,0.005
0.678,-0.165,0.000
0.680,-0.040,-0.005
0.682,-0.115,-0.010
0.684,-0.060,-0.015
0.686,-0.035,-0.020
0.688,0.035,-0.020
0.690,-0.040,-0.025
0.692,-0.280,-0.030
0.694,-0.325,-0.035
0.696,-0.265,-0.040
0.698,-0.215,-0.040
0.700,-0.125,-0.045
0.702,-0.120,-0.040
0.704,0.000,-0.035
0.706,-0.040,-0.030
0.708,-0.125,-0.025
0.710,-0.085,-0.020
0.712,-0.105,-0.020
0.714,-0.290,-0.020
0.716,-0.280,-0.025
0.718,-0.235,-0.035
0.720,-0.115,-0.040
0.722,-0.035,-0.050
0.724,-0.015,-0.060
0.726,-0.175,-0.060
0.728,-0.125,-0.060
0.730,-0.120,-0.060
0.732,-0.165,-0.055
0.734,-0.280,-0.045
0.736,-0.230,-0.040
0.738,-0.240,-0.035
0.740,-0.180,-0.035
0.742,-0.135,-0.040
0.744,-0.015,-0.045
0.746,-0.060,-0.050
0.748,-0.065,-0.060
0.750,-0.165,-0.065
0.752,-0.310,-0.070
0.754,-0.280,-0.070
